Description,TotalSalesDollars,ProfitMargin
Alpataco Pnt Nr,1183.26,67.3545966228893
Alphonse Dolly Pouilly-Fume,3529.45,53.46867075606681
Alta Classe Mntplcno Abruzzo,575.28,77.63871506049227
Alta Vista Malbec Mendoza,275.76,71.40992167101827
Altadonna Nero D'Avola,2895.93,92.76778098918138
Altadonna Vermentino,638.29,97.0859640602234
Alter Ego de Palmer Mrgx 11,2406.71,75.20931063568108
Altitude Project Cab Svgn,175.78,28.182955967686883
Altitude Project Chard,271.65999999999997,30.825296326290204
Alto Ego De Palmer Margaux,5331.38,98.95936886884822
Altocedro Finca Tanos Malbec,3567.8999999999996,61.97511141007315
Altocedro Malbec Reserva,479.84,65.52184061353785
Alverez de Toledo Godello,3882.33,67.38298908129912
Alverez de Toledo Mencia Rbl,9101.27,62.753769528867956
Amadeo Chianti,383.52,65.76971214017522
Amapola Creek 09 Cab Svgn,4835.150000000001,90.84082189797628
Amapola Creek Chard RR 14,1103.4,41.245241979336605
Amaro Sfumato Rabarbaro,87.96,60.64120054570259
Ame Neyers Cab Svgn Napa,3439.5699999999997,59.959529824949044
American Thread Pnt Nr,4700.64,16.100786275911368
Americano Petite Syrah,3120.24,65.38727790169987
Amrut Fusion Single Malt,9583.56,94.7430808593049
Anakota 11 Helena Montana CS,3599.5499999999997,56.45427900709811
Anakota Cab Svgn Helena Dako,2719.66,68.90456895347212
Anarkos Puglia,443.64,77.17067892886125
Anastasi Estates Messinia Rd,623.48,92.35901712965934
Anderra Cab Svgn,8171.02,70.77916832904583
Anderra Carmenere,215.76,66.4627363737486
Andre Bjls Vlgs La Treille,5565.78,32.55931783146298
Andre Moscato,1110.09,61.51663378644974
Andre Pink Moscato,481.16,60.04655416077812
Andre Spumante Calif,4159.0199999999995,63.604887689888464
Andrew Will Two Blondes WA,1607.76,66.66666666666667
Angela Yamhill-Carlton Pnt N,2145.42,59.69460525211847
Angeline Chard Cal,315.68,43.77850988342626
Angeline Svgn Bl RRV,510.3,67.07818930041152
Angelini Sangiovese Pesaresi,3113.06,62.414151991930765
Angels Envy Hanover Chop,551.88,61.535116329636885
Angels Landing Cab Svgn,9355.32,60.041559241159035
Angels Landing Rsv Cab Svgn,2489.17,42.981395404894
Angels Landing Svgn Bl,923.4399999999999,44.693753790175855
Angoves Nine Vines Moscato,647.46,40.28820313223983
Anima Negra Quibia,727.48,7.079232418760653
Anna de Codorniu Brut Rose,383.76,67.32332707942464
Annabella Cab Svgn Napa,2078.7,62.300476259200465
Anselmi San Vincenzo,3594.0,6.913188647746245
Antech Limoux Brut,3237.3,50.45871559633027
Antech Limoux Emotion Sprklg,3329.62,48.62927301013328
Anterra Chardonnay,7135.07,94.70222436500273
Anthology Conn Crk Cab Napa,8329.880000000001,61.65551004336197
Antica Cab Svgn Napa Valley,5156.89,57.24167085200577
Antica Chard Napa Valley,2387.24,65.56190412359042
Antico Colle Chianti Colli,527.52,66.87898089171973
Antico Colle Toscana Rosso,259.74,37.62993762993763
Antigal Uno Cab Mendza,1415.1399999999999,84.87358141243976
Antinori Badia Chianti Clsc,873.7700000000001,62.819735170582646
Antinori Brnllo Mntlcno Pain,2655.51,73.85586949399551
Antinori Cervaro della Salla,543.84,68.8290673727567
Antiquary 12 Yr Old Scotch,269.88,62.11649622054246
Anton Bauer Gmork Rose,335.76,67.3338098641887
Apaltagua Envero Gran Rsv,1323.6299999999999,48.34205933682373
Apimed Old Slavic Mead Dark,1906.1999999999998,67.46931067044382
Apimed Old Slavic Mead Light,1270.8,69.54674220963173
Apimed Slovak Mead,929.16,69.08175125920187
Apimed Trnava Mead,671.4,70.06255585344057
Apple Orchard Liqueur,3406.59,94.2000651678071
Appolo Vyds China Girl,1725.35,33.24832642652215
Appolo Vyds Seyval,1353.59,7.800737298591148
Aquilon 06 Garnacha de Borja,1079.8799999999999,94.51790939734043
Aquinas Cab Svgn,6489.12,94.69881894617453
Aquinas Napa Chard,1021.27,90.74681523984842
Aquitania Cab Svgn,4924.92,52.577909894983065
Arabella Chard,263.76,66.87898089171973
Arca Nova Rose,527.52,65.51410373066425
Archetype Shiraz/Cab Barossa,259.8,59.722863741339495
Ardbeg Auriverdes Scotch,7419.21,90.74160186866257
Aresti Pnt Nr Curico Vly,114.77000000000001,97.14211030757166
Argentiera Poggio Ginerpi Bo,455.76,66.2190626645603
Argiano Non Confunditur Rsso,527.76,67.73533424283765
Argiola Costera Isola dei N,149.85,45.945945945945944
Argiola Turriga 05 Isola Nur,1589.3999999999999,42.733106832767085
Argiolas SerraLori Rose 13,1006.8,66.8891537544696
Arindo Verdejo Rueda,1218.92,78.91247990023956
Armand Kabinett Rsl,1115.4199999999998,72.24363916730917
Armorik Single Malt Whiskey,2279.62,98.02116142164044
Arnaldo Caprai Grecante Grec,3152.3399999999997,51.160090599364274
Arrogant Frog Chardonnay,239.76,67.51751751751752
Arrogant Frog Pnt Nr,4825.17,65.08433899738249
Arrow Apricot Brandy,1054.6799999999998,58.69837296620776
Arrow Blackraspberry Liqueur,479.4,36.520650813516895
Arrow Blue Curacao,8820.960000000001,60.60882262248099
Arrow Creme de Strawberry,7470.65,66.55592217544658
Arrowood Sonoma Est Cab Svgn,3533.92,63.30194231901118
Art of Eart Montepulciano d',3430.88,75.62316373641748
Artesa Elements Cab Svgn,1088.72,25.1083841575428
Artesa Elements Napa Red,1393.71,48.14200945677365
Artesa Rsv Chard,5137.5199999999995,26.138487052118524
Artesa Rsv Pnt Nr,5483.42,38.586502584153685
Asamai Shuzo Heavens Door,239.92,50.658552850950315
Aska Bolgheri Rosso,869.6999999999999,64.43831206163044
Assyrtiko-Athiri Atlantis,383.76,66.88555347091932
Astraly Touraine Nobel Rose,179.88,65.51034022681789
Atalon Cab Svgn Napa,2819.06,75.13639298205784
Atalon Pauline's Cuvee Red N,4117.94,94.60434100545419
Atalon Svgn Bl Napa Valley,4117.94,81.2041943301748
Atamisque Assemblage,9204.210000000001,57.98118469700279
